customer_id,customer_name,email,registration_date,customer_type
CUST-1001,Emily Smith,emily.smithexample.com,2025-08-31,VIP
CUST-1002,Danny Skinner,danny.skinner@example.com,2024-06-27,PREMIUM
CUST-1003,Travis Holland,travis.holland@example.com,2024-07-28,VIP
CUST-1004,Timothy Carter,timothy.carter@example.com,2023-01-10,REGULAR
CUST-1005,Jennifer Olson,jennifer.olson@example.com,2024-11-15,PREMIUM
CUST-1006,Jesus Thomas,jesus.thomas@example.com,2024-04-01,REGULAR
CUST-1007,Kyle Francis,kyle.francis@example.com,2025-07-15,VIP
CUST-1008,Benjamin Barton,benjamin.barton@example.com,2024-09-20,VIP
CUST-1009,Gina French,gina.french@example.com,2023-09-07,REGULAR
CUST-1010,Aaron Barber,aaron.barber@example.com,2024-11-29,PREMIUM
CUST-1011,Lauren Keller,lauren.kellerexample.com,2024-01-26,REGULAR
CUST-1012,Jill Washington,jill.washington@example.com,2024-01-31,PREMIUM
CUST-1013,Phillip Bennett,phillip.bennett@example.com,2024-07-07,VIP
CUST-1014,Sheila Pollard,sheila.pollard@example.com,2023-10-17,REGULAR
CUST-1015,James Chase,james.chase@example.com,2025-07-22,VIP
CUST-1016,Evan Kennedy,evan.kennedy@example.com,2025-04-21,PREMIUM
CUST-1017,Jane Mcneil,jane.mcneil@example.com,2024-06-10,VIP
CUST-1018,Marissa Hernandez,marissa.hernandez@example.com,2024-04-01,PREMIUM
CUST-1019,Beth Sanford,beth.sanford@example.com,2023-02-14,PREMIUM
CUST-1020,Brian Kirk,brian.kirk@example.com,2025-07-08,VIP
CUST-1021,Thomas Smith,thomas.smith@example.com,2023-07-17,PREMIUM
CUST-1022,Seth Booker,seth.booker@example.com,2024-06-10,REGULAR
CUST-1023,Richard Baker,richard.baker@example.com,2025-08-28,REGULAR
CUST-1024,Jennifer Miller,jennifer.miller@example.com,2023-06-21,VIP
CUST-1025,Michael Ferguson,michael.ferguson@example.com,2024-06-30,REGULAR
CUST-1026,Lori Clay,lori.clay@example.com,2024-10-03,REGULAR
CUST-1027,Joshua Williamson II,joshua.williamson.ii@example.com,2023-08-04,VIP
CUST-1028,Donna Perez,donna.perez@example.com,2024-10-06,REGULAR
CUST-1029,William Hodges,william.hodges@example.com,2025-06-04,VIP
CUST-1030,Ashlee Jackson,ashlee.jackson@example.com,2024-03-10,REGULAR
CUST-1031,Allen Nguyen,allen.nguyen@example.com,2023-07-30,VIP
CUST-1032,Ian Jordan,ian.jordan@example.com,2025-04-28,VIP
CUST-1033,Jason Maldonado,jason.maldonado@example.com,2025-06-18,VIP
CUST-1034,Christopher Lynch,christopher.lynch@example.com,2025-03-04,PREMIUM
CUST-1035,Michael Jimenez,michael.jimenez@example.com,2024-10-24,REGULAR
CUST-1036,Crystal Little,crystal.little@example.com,2025-02-03,VIP
CUST-1037,Michael Nolan,michael.nolan@example.com,2023-06-07,REGULAR
CUST-1038,Dwayne Payne,dwayne.payne@example.com,2024-04-15,VIP
CUST-1039,Tony Huerta,tony.huerta@example.com,2023-12-06,REGULAR
CUST-1040,Victor Vaughn,victor.vaughn@example.com,2023-03-31,REGULAR
CUST-1041,Eric Kidd,eric.kidd@example.com,2023-02-25,REGULAR
CUST-1042,Ashley James,ashley.james@example.com,2025-03-24,PREMIUM
CUST-1043,Edward Lyons,edward.lyons@example.com,2024-07-25,REGULAR
CUST-1044,Ronald Foster,ronald.foster@example.com,2024-08-11,REGULAR
CUST-1045,Sean Osborne,sean.osborne@example.com,2025-07-21,PREMIUM
CUST-1046,Susan Mcgee,susan.mcgee@example.com,2024-02-22,PREMIUM
CUST-1047,Stephanie Parsons,stephanie.parsons@example.com,2024-04-06,VIP
CUST-1048,Robert Robinson,robert.robinson@example.com,2024-02-19,PREMIUM
CUST-1049,David Campos,david.campos@example.com,2023-11-20,REGULAR
CUST-1050,Melanie Taylor,melanie.taylor@example.com,2024-02-03,VIP
CUST-1051,Mark Williams,mark.williams@example.com,2023-05-02,VIP
CUST-1052,Amanda Diaz,amanda.diaz@example.com,2023-01-07,VIP
CUST-1053,Theodore Murphy,theodore.murphy@example.com,2025-01-07,VIP
CUST-1054,Curtis Buchanan,curtis.buchanan@example.com,2023-03-06,VIP
CUST-1055,Holly Shaw,holly.shaw@example.com,2024-08-22,REGULAR
CUST-1056,Christopher Sloan,christopher.sloan@example.com,2024-12-18,REGULAR
CUST-1057,Tracy Phillips,tracy.phillips@example.com,2024-01-02,VIP
CUST-1058,Regina Mcdonald,regina.mcdonald@example.com,2023-04-19,PREMIUM
CUST-1059,Paul Perez,paul.perez@example.com,2025-03-16,VIP
CUST-1060,Megan Sanders,megan.sanders@example.com,2023-11-05,VIP
